filename,device_id,x,y,SS_min (V/dec),VTH (V),Hysteresis (V),Gm_max @1V (µA/µm per V)
IDVG [PL_beforeAnneal _ 5 2 33 0  (33) ; 3_20_2025 4_59_42 PM].csv,33,5.0,2.0,,,,
IDVG [PL_beforeAnneal _ 4 2 34 0  (34) ; 3_20_2025 5_00_36 PM].csv,34,4.0,2.0,0.22365406747925512,0.8802617801047126,0.22801906853674292,5.1739999999999995
IDVG [PL_beforeAnneal _ 3 2 35 0  (35) ; 3_20_2025 5_00_41 PM].csv,35,3.0,2.0,,,,
IDVG [PL_beforeAnneal _ 2 2 36 0  (36) ; 3_20_2025 5_00_44 PM].csv,36,2.0,2.0,,,,
IDVG [PL_beforeAnneal _ 1 2 37 0  (37) ; 3_20_2025 5_01_35 PM].csv,37,1.0,2.0,0.20366807772412285,0.8829309188464101,0.28268022180002234,6.603999999999999
IDVG [PL_beforeAnneal _ 0 2 38 0  (38) ; 3_20_2025 5_02_31 PM].csv,38,0.0,2.0,,0.7478417266187061,,-1.5999999999999982e-06
IDVG [PL_beforeAnneal _ -1 2 39 0  (39) ; 3_20_2025 5_03_20 PM].csv,39,-1.0,2.0,0.19792205017755857,0.8492265696087344,0.33124629462894845,6.026000000000003
IDVG [PL_beforeAnneal _ -2 2 40 0  (40) ; 3_20_2025 5_04_13 PM].csv,40,-2.0,2.0,0.19493062295332622,0.827777777777778,0.329860877722299,7.513999999999996
IDVG [PL_beforeAnneal _ -3 2 41 0  (41) ; 3_20_2025 5_05_04 PM].csv,41,-3.0,2.0,0.19163886815107123,0.8056895252449119,0.3209184168107323,10.139999999999986
IDVG [PL_beforeAnneal _ -4 2 42 0  (42) ; 3_20_2025 5_05_56 PM].csv,42,-4.0,2.0,0.1877596569019168,0.7716640502354764,0.3516447006271498,12.039999999999992
IDVG [PL_beforeAnneal _ -5 2 43 0  (43) ; 3_20_2025 5_06_12 PM].csv,43,-5.0,2.0,242.0208769190686,633.2500000005742,,
IDVG [PL_beforeAnneal _ -5 1 44 0  (44) ; 3_20_2025 5_07_26 PM].csv,44,-5.0,1.0,,0.4921875000000014,,6.099999999999986e-06
IDVG [PL_beforeAnneal _ -4 1 45 0  (45) ; 3_20_2025 5_07_32 PM].csv,45,-4.0,1.0,,,,
IDVG [PL_beforeAnneal _ -3 1 46 0  (46) ; 3_20_2025 5_08_24 PM].csv,46,-3.0,1.0,0.39016555942505193,1.4618376690946926,0.6060404436025851,0.9606999999999974
IDVG [PL_beforeAnneal _ -2 1 47 0  (47) ; 3_20_2025 5_09_13 PM].csv,47,-2.0,1.0,0.20686373311552267,0.7837865201041359,0.34036476982181124,6.815999999999995
IDVG [PL_beforeAnneal _ -1 1 48 0  (48) ; 3_20_2025 5_10_04 PM].csv,48,-1.0,1.0,0.5994609575140261,1.7489135258381916,0.5026578383004916,0.06759999999999992
IDVG [PL_beforeAnneal _ 0 1 49 0  (49) ; 3_20_2025 5_10_55 PM].csv,49,0.0,1.0,0.1940870623069531,0.8413783323879716,0.22226756381423157,8.137999999999998
IDVG [PL_beforeAnneal _ 1 1 50 0  (50) ; 3_20_2025 5_11_46 PM].csv,50,1.0,1.0,0.20825399346764653,0.8841342052885983,0.2945899689569763,6.268000000000001
IDVG [PL_beforeAnneal _ 2 1 51 0  (51) ; 3_20_2025 5_12_35 PM].csv,51,2.0,1.0,0.2155395372557799,0.8449229246216923,0.1279262079619683,6.607999999999997
IDVG [PL_beforeAnneal _ 3 1 52 0  (52) ; 3_20_2025 5_13_26 PM].csv,52,3.0,1.0,0.20170125638634395,0.8396903976111885,0.1676920977026383,5.953999999999986
IDVG [PL_beforeAnneal _ 4 1 53 0  (53) ; 3_20_2025 5_14_12 PM].csv,53,4.0,1.0,0.218661778437919,0.8860939907550069,0.2675031073165699,4.5859999999999985
IDVG [PL_beforeAnneal _ 5 1 54 0  (54) ; 3_20_2025 5_14_16 PM].csv,54,5.0,1.0,,,,
IDVG [PL_beforeAnneal _ 5 0 55 0  (55) ; 3_20_2025 5_14_30 PM].csv,55,5.0,0.0,,1.1019287833827895,,
IDVG [PL_beforeAnneal _ 4 0 56 0  (56) ; 3_20_2025 5_15_23 PM].csv,56,4.0,0.0,0.2190931276343249,0.8881411492479736,0.2698755874028331,4.609999999999999
IDVG [PL_beforeAnneal _ 3 0 57 0  (57) ; 3_20_2025 5_16_16 PM].csv,57,3.0,0.0,0.20784084217666388,0.8139414963435188,0.19652580393129343,5.1640000000000015
IDVG [PL_beforeAnneal _ 2 0 58 0  (58) ; 3_20_2025 5_16_58 PM].csv,58,2.0,0.0,0.19439349858070842,0.8255099228224942,0.08795557939631296,6.823999999999984
IDVG [PL_beforeAnneal _ 1 0 59 0  (59) ; 3_20_2025 5_17_51 PM].csv,59,1.0,0.0,0.20639055775665407,0.875566523008481,0.26451244340212327,6.429999999999993
IDVG [PL_beforeAnneal _ 0 0 60 0  (60) ; 3_20_2025 5_18_38 PM].csv,60,0.0,0.0,0.20342234980414423,0.8356486519163338,0.23874457193922272,7.652000000000001
IDVG [PL_beforeAnneal _ -1 0 61 0  (61) ; 3_20_2025 5_19_30 PM].csv,61,-1.0,0.0,0.1717264133173342,0.5672231985940224,0.04505360187010887,12.953999999999994
IDVG [PL_beforeAnneal _ -2 0 62 0  (62) ; 3_20_2025 5_19_43 PM].csv,62,-2.0,0.0,0.19980279824179328,0.7462660809538741,,
IDVG [PL_beforeAnneal _ -3 0 63 0  (63) ; 3_20_2025 5_20_33 PM].csv,63,-3.0,0.0,0.19179166672998071,0.6289072201525627,0.1388311302427203,7.72999999999999
IDVG [PL_beforeAnneal _ -4 0 64 0  (64) ; 3_20_2025 5_20_37 PM].csv,64,-4.0,0.0,,,,
IDVG [PL_beforeAnneal _ -5 0 65 0  (65) ; 3_20_2025 5_20_52 PM].csv,65,-5.0,0.0,144.36056475371575,-207.11666666661912,,
IDVG [PL_beforeAnneal _ -5 -1 66 0  (66) ; 3_20_2025 5_21_06 PM].csv,66,-5.0,-1.0,0.21769490235632874,2.191522356478646,0.010513383179640984,
IDVG [PL_beforeAnneal _ -4 -1 67 0  (67) ; 3_20_2025 5_21_10 PM].csv,67,-4.0,-1.0,,,,
IDVG [PL_beforeAnneal _ -3 -1 68 0  (68) ; 3_20_2025 5_21_15 PM].csv,68,-3.0,-1.0,,,,
IDVG [PL_beforeAnneal _ -2 -1 69 0  (69) ; 3_20_2025 5_22_05 PM].csv,69,-2.0,-1.0,0.1979445322119713,0.7977966101694896,0.3062163179341011,11.063999999999965
IDVG [PL_beforeAnneal _ -1 -1 70 0  (70) ; 3_20_2025 5_22_10 PM].csv,70,-1.0,-1.0,,,,
IDVG [PL_beforeAnneal _ 0 -1 71 0  (71) ; 3_20_2025 5_22_16 PM].csv,71,0.0,-1.0,,,,
IDVG [PL_beforeAnneal _ 1 -1 72 0  (72) ; 3_20_2025 5_23_12 PM].csv,72,1.0,-1.0,,0.6948000000000005,,5.199999999999977e-06
IDVG [PL_beforeAnneal _ 2 -1 73 0  (73) ; 3_20_2025 5_23_29 PM].csv,73,2.0,-1.0,0.20557896516888094,0.9131211708645337,0.16009749364070436,5.04999999999999
IDVG [PL_beforeAnneal _ 3 -1 74 0  (74) ; 3_20_2025 5_23_44 PM].csv,74,3.0,-1.0,,1.790880503144654,,
IDVG [PL_beforeAnneal _ 4 -1 75 0  (75) ; 3_20_2025 5_23_48 PM].csv,75,4.0,-1.0,,,,
IDVG [PL_beforeAnneal _ 5 -1 76 0  (76) ; 3_20_2025 5_23_52 PM].csv,76,5.0,-1.0,,,,
IDVG [PL_beforeAnneal _ 5 -2 77 0  (77) ; 3_20_2025 5_24_49 PM].csv,77,5.0,-2.0,,1.4844322344322343,,1.7899999999999988e-05
IDVG [PL_beforeAnneal _ 4 -2 78 0  (78) ; 3_20_2025 5_24_55 PM].csv,78,4.0,-2.0,,,,
IDVG [PL_beforeAnneal _ 3 -2 79 0  (79) ; 3_20_2025 5_25_23 PM].csv,79,3.0,-2.0,0.21102714130370992,0.9494344957587164,0.1660724481128417,4.383999999999997
IDVG [PL_beforeAnneal _ 2 -2 80 0  (80) ; 3_20_2025 5_25_27 PM].csv,80,2.0,-2.0,,,,
IDVG [PL_beforeAnneal _ 1 -2 81 0  (81) ; 3_20_2025 5_26_17 PM].csv,81,1.0,-2.0,0.21177086233997391,0.8877441713925647,0.30635174714267555,5.657999999999987
IDVG [PL_beforeAnneal _ 0 -2 82 0  (82) ; 3_20_2025 5_27_08 PM].csv,82,0.0,-2.0,0.20165478477808926,0.8893135128237839,0.31830784111201493,6.873999999999995
IDVG [PL_beforeAnneal _ -1 -2 83 0  (83) ; 3_20_2025 5_27_59 PM].csv,83,-1.0,-2.0,0.18645946103306227,0.6481515711645087,0.0714318090262599,11.539999999999992
